R,G,B,C,sum,Temp,Lux,Name
187,270,187,683,1327,5201,228,PLT 
187,271,188,683,1329,5221,229,PLT 
189,273,190,690,1342,5221,230,PLT 
194,279,193,705,1371,5181,236,PLT 
201,287,197,725,1410,5125,243,PLT 
207,294,201,743,1445,5090,249,PLT 
209,297,203,750,1459,5091,252,PLT 
210,298,204,753,1465,5092,252,PLT 
211,299,205,757,1472,5092,253,PLT 
213,300,206,762,1481,5075,253,PLT 
199,284,195,718,1396,5124,240,PLT 
195,281,195,709,1380,5201,237,PLT 
194,280,194,706,1374,5201,236,PLT 
194,279,193,704,1370,5181,236,PLT 
192,277,192,699,1360,5201,234,PLT 
191,276,192,697,1356,5220,233,PLT 
190,275,191,695,1351,5221,232,PLT 
189,274,191,692,1346,5241,231,PLT 
189,273,189,689,1340,5201,231,PLT 
190,273,190,691,1344,5201,230,PLT 
191,275,191,696,1353,5201,232,PLT 
192,276,191,698,1357,5181,233,PLT 
192,276,192,698,1358,5201,232,PLT 
193,278,193,703,1367,5201,234,PLT 
196,281,194,709,1380,5162,237,PLT 
197,282,195,713,1387,5162,238,PLT 
197,282,195,714,1388,5162,238,PLT 
197,282,195,714,1388,5162,238,PLT 
197,282,195,713,1387,5162,238,PLT 
197,281,194,712,1384,5142,237,PLT 
197,282,194,713,1386,5142,239,PLT 
196,281,194,710,1381,5162,237,PLT 
196,281,194,710,1381,5162,237,PLT 
196,282,194,711,1383,5162,239,PLT 
198,284,196,716,1394,5162,240,PLT 
198,285,197,718,1398,5181,241,PLT 
197,282,195,712,1386,5162,238,PLT 
195,282,196,710,1383,5220,238,PLT 
196,282,195,710,1383,5181,238,PLT 
197,282,194,712,1385,5142,239,PLT 
199,285,197,718,1399,5162,241,PLT 
206,294,202,741,1443,5127,249,PLT 
209,297,204,750,1460,5109,251,PLT 
208,297,204,749,1458,5127,251,PLT 
207,295,203,745,1450,5127,249,PLT 
207,295,203,746,1451,5127,249,PLT 
209,298,205,752,1464,5128,252,PLT 
210,299,206,756,1471,5128,252,PLT 
211,299,206,757,1473,5110,252,PLT 
210,297,204,753,1464,5092,251,PLT 
210,297,204,753,1464,5092,251,PLT 
210,297,204,753,1464,5092,251,PLT 
210,297,204,752,1463,5092,251,PLT 
210,296,204,751,1461,5092,249,PLT 
209,296,204,751,1460,5109,250,PLT 
209,296,204,751,1460,5109,250,PLT 
209,296,204,751,1460,5109,250,PLT 
209,297,204,751,1461,5109,251,PLT 
210,297,204,753,1464,5092,251,PLT 
210,298,204,754,1466,5092,252,PLT 
210,298,204,754,1466,5092,252,PLT 
210,298,204,754,1466,5092,252,PLT 
206,293,201,741,1441,5108,248,PLT 
189,274,190,690,1343,5221,232,PLT 
184,268,186,676,1314,5242,227,PLT 
184,268,186,675,1313,5242,227,PLT 
183,266,184,670,1303,5221,225,PLT 
183,265,184,669,1301,5221,224,PLT 
187,269,186,680,1322,5180,227,PLT 
193,277,191,699,1360,5161,234,PLT 
199,284,195,716,1394,5124,240,PLT 
201,287,196,723,1407,5106,244,PLT 
204,290,198,731,1423,5088,246,PLT 
205,291,199,734,1429,5089,247,PLT 
205,292,199,736,1432,5089,248,PLT 
209,296,203,748,1456,5091,250,PLT 
209,297,204,752,1462,5109,251,PLT 
209,297,204,752,1462,5109,251,PLT 
209,297,204,752,1462,5109,251,PLT 
209,297,204,752,1462,5109,251,PLT 
209,297,204,751,1461,5109,251,PLT 
209,297,204,751,1461,5109,251,PLT 
209,297,204,752,1462,5109,251,PLT 
209,297,204,752,1462,5109,251,PLT 
209,297,205,752,1463,5128,250,PLT 
209,297,204,752,1462,5109,251,PLT 
209,297,205,752,1463,5128,250,PLT 
209,297,205,753,1464,5128,250,PLT 
209,297,205,752,1463,5128,250,PLT 
209,297,205,753,1464,5128,250,PLT 
209,297,205,753,1464,5128,250,PLT 
209,297,205,753,1464,5128,250,PLT 
208,297,204,751,1460,5127,251,PLT 
208,296,203,749,1456,5109,251,PLT 
207,294,201,744,1446,5090,249,PLT 
209,295,202,749,1455,5073,249,PLT 
212,297,203,754,1466,5039,251,PLT 
214,300,205,762,1481,5040,253,PLT 
217,303,207,770,1497,5025,256,PLT 
220,308,210,782,1520,5027,261,PLT 
222,310,211,788,1531,5012,262,PLT 
222,310,211,787,1530,5012,262,PLT 
220,307,209,779,1515,5010,260,PLT 
215,305,209,772,1501,5094,258,PLT 
213,301,207,763,1484,5093,254,PLT 
212,300,206,760,1478,5093,253,PLT 
211,300,205,758,1474,5092,254,PLT 
211,299,205,757,1472,5092,253,PLT 
210,298,205,754,1467,5110,252,PLT 
207,295,203,746,1451,5127,249,PLT 
208,295,203,747,1453,5109,249,PLT 
208,295,203,747,1453,5109,249,PLT 
208,295,203,747,1453,5109,249,PLT 
208,295,203,747,1453,5109,249,PLT 
208,295,203,747,1453,5109,249,PLT 
208,296,203,749,1456,5109,251,PLT 
208,296,203,749,1456,5109,251,PLT 
208,295,202,747,1452,5091,250,PLT 
208,295,202,747,1452,5091,250,PLT 
209,295,205,747,1456,5128,247,PLT 
212,299,205,758,1474,5075,253,PLT 
216,303,208,771,1498,5059,255,PLT 
217,305,208,776,1506,5042,258,PLT 
217,307,211,781,1516,5095,259,PLT 
216,306,210,776,1508,5095,259,PLT 
214,303,208,769,1494,5094,256,PLT 
211,298,205,756,1470,5092,251,PLT 
208,295,202,747,1452,5091,250,PLT 
205,292,201,737,1435,5126,247,PLT 
204,291,200,734,1429,5126,246,PLT 
202,288,198,727,1415,5125,244,PLT 
200,285,195,718,1398,5105,242,PLT 
196,281,193,708,1378,5142,238,PLT 
193,277,191,698,1359,5161,234,PLT 
190,274,189,689,1342,5180,232,PLT 
188,271,187,683,1329,5180,229,PLT 
187,270,187,680,1324,5201,228,PLT 
187,270,187,681,1325,5201,228,PLT 
187,271,187,682,1327,5201,230,PLT 
187,271,187,683,1328,5201,230,PLT 
187,272,188,684,1331,5221,231,PLT 
187,271,187,683,1328,5201,230,PLT 
186,270,186,679,1321,5201,229,PLT 
185,269,186,678,1318,5221,228,PLT 
185,269,186,678,1318,5221,228,PLT 
185,269,186,678,1318,5221,228,PLT 
187,270,187,680,1324,5201,228,PLT 
188,271,187,682,1328,5180,229,PLT 
189,272,188,683,1332,5180,230,PLT 
189,272,188,684,1333,5180,230,PLT 
189,272,188,684,1333,5180,230,PLT 
189,272,188,684,1333,5180,230,PLT 
189,272,188,684,1333,5180,230,PLT 
189,272,188,684,1333,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
190,273,188,685,1336,5160,231,PLT 
190,272,189,685,1336,5180,229,PLT 
190,273,189,685,1337,5180,230,PLT 
190,273,189,685,1337,5180,230,PLT 
190,273,189,685,1337,5180,230,PLT 
190,273,188,685,1336,5160,231,PLT 
190,273,188,685,1336,5160,231,PLT 
190,272,188,685,1335,5160,230,PLT 
190,272,188,685,1335,5160,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,684,1333,5180,230,PLT 
188,272,188,683,1331,5201,230,PLT 
189,272,188,683,1332,5180,230,PLT 
189,272,188,683,1332,5180,230,PLT 
189,272,188,683,1332,5180,230,PLT 
189,272,188,684,1333,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,684,1333,5180,230,PLT 
189,272,188,684,1333,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,684,1333,5180,230,PLT 
189,272,188,684,1333,5180,230,PLT 
189,272,188,684,1333,5180,230,PLT 
189,272,188,684,1333,5180,230,PLT 
189,272,188,684,1333,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
189,272,188,685,1334,5180,230,PLT 
